id,is_checkpoint,latitude,longitude,declination,radius,stay_time,harvested,id_mission,rankInMission,name
1,0,60.05356751987265,19.97055949143882,6,50,0,1,,,
2,0,60.05275001991933,19.96829582600528,6,15,0,0,,,
3,0,60.04974036702081,19.9619449868723,6,15,0,0,,,
4,0,60.04639348939921,19.95146206004317,6,15,0,0,,,
5,0,60.04336977573267,19.94173368835856,6,15,0,0,,,
6,0,60.04249810386197,19.93905681415541,6,15,0,0,,,
7,0,60.0517393462915,19.93197836827593,6,15,0,0,,,
8,0,60.06130581243809,19.92679529305708,6,15,0,0,,,
9,0,60.06342532884776,19.92652580907689,6,15,0,0,,,
10,0,60.07329365064827,19.92765764179366,6,15,0,0,,,
11,0,60.08434373198734,19.92885235410581,6,15,0,0,,,
12,0,60.09242023820433,19.92554668394889,6,15,0,0,,,
13,0,60.1002749788721,19.92159425223954,6,15,0,0,,,
14,0,60.1074282904681,19.9219266158151,6,15,0,0,,,
